JSE_STOCK,TARGET_STOCK,TARGET_MARKET,PERCENT_CHANGE_CORR,DAILY_SIMILARITY_10
ANG.JO_2021-09-15_2023-09-15,200596.SZ_2021-09-15_2023-09-15,ssx,0.13580793993298593,0.5343347639484979
ANH.JO_2021-09-15_2023-09-15,RHCPA.AX_2021-09-15_2023-09-15,asx,-0.2935031952625469,0.47346938775510206
ANH.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.26709108541341287,0.49356223175965663
ANH.JO_2021-09-15_2023-09-15,601628.SS_2021-09-15_2023-09-15,ssx,0.21654909161318456,0.4699570815450644
ANH.JO_2021-09-15_2023-09-15,BENPG.AX_2021-09-15_2023-09-15,asx,0.21541717571746072,0.47346938775510206
ANH.JO_2021-09-15_2023-09-15,601066.SS_2021-09-15_2023-09-15,ssx,0.1874991276882784,0.5
ANH.JO_2021-09-15_2023-09-15,600309.SS_2021-09-15_2023-09-15,ssx,0.17353627805396685,0.5021459227467812
ANH.JO_2021-09-15_2023-09-15,601319.SS_2021-09-15_2023-09-15,ssx,0.15763465668411641,0.4334763948497854
ANH.JO_2021-09-15_2023-09-15,601601.SS_2021-09-15_2023-09-15,ssx,0.1544209386868633,0.4957081545064378
ANH.JO_2021-09-15_2023-09-15,LNW.AX_2021-09-15_2023-09-15,asx,-0.14329913912627598,0.3246753246753247
ANH.JO_2021-09-15_2023-09-15,SEK.AX_2021-09-15_2023-09-15,asx,-0.1408955645314157,0.5417515274949084
APN.JO_2021-09-15_2023-09-15,600900.SS_2021-09-15_2023-09-15,ssx,0.1794564277792807,0.5064377682403434
APN.JO_2021-09-15_2023-09-15,PME.AX_2021-09-15_2023-09-15,asx,0.17216468728442344,0.5661914460285132
APN.JO_2021-09-15_2023-09-15,TPG.AX_2021-09-15_2023-09-15,asx,0.17037181096018042,0.5173116089613035
APN.JO_2021-09-15_2023-09-15,AKE.AX_2021-09-15_2023-09-15,asx,0.16804101084367914,0.5234215885947047
APN.JO_2021-09-15_2023-09-15,603259.SS_2021-09-15_2023-09-15,ssx,0.15927554065914518,0.5493562231759657
APN.JO_2021-09-15_2023-09-15,9984.T_2021-09-15_2023-09-15,jpx,0.158221449947171,0.5190677966101694
APN.JO_2021-09-15_2023-09-15,601985.SS_2021-09-15_2023-09-15,ssx,0.15451293679656403,0.48283261802575106
APN.JO_2021-09-15_2023-09-15,4689.T_2021-09-15_2023-09-15,jpx,0.15415834594046357,0.5084745762711864
APN.JO_2021-09-15_2023-09-15,6758.T_2021-09-15_2023-09-15,jpx,0.15343404934663515,0.538135593220339
APN.JO_2021-09-15_2023-09-15,6594.T_2021-09-15_2023-09-15,jpx,0.15343127107401358,0.5444915254237288
ARI.JO_2021-09-15_2023-09-15,FMG.AX_2021-09-15_2023-09-15,asx,0.3368133058279401,0.6109979633401222
ARI.JO_2021-09-15_2023-09-15,RIO.AX_2021-09-15_2023-09-15,asx,0.29889960279882954,0.6089613034623218
ARI.JO_2021-09-15_2023-09-15,601899.SS_2021-09-15_2023-09-15,ssx,0.29634410246713644,0.572961373390558
ARI.JO_2021-09-15_2023-09-15,BHP.AX_2021-09-15_2023-09-15,asx,0.2776197604016304,0.5784114052953157
ARI.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.2698947233249339,0.5472103004291845
ARI.JO_2021-09-15_2023-09-15,601318.SS_2021-09-15_2023-09-15,ssx,0.2649894605659786,0.5793991416309013
ARI.JO_2021-09-15_2023-09-15,BSL.AX_2021-09-15_2023-09-15,asx,0.26414202519488117,0.5804480651731161
ARI.JO_2021-09-15_2023-09-15,600000.SS_2021-09-15_2023-09-15,ssx,0.263689922590993,0.5665236051502146
ARI.JO_2021-09-15_2023-09-15,601919.SS_2021-09-15_2023-09-15,ssx,0.25849190762087365,0.5579399141630901
ARI.JO_2021-09-15_2023-09-15,601211.SS_2021-09-15_2023-09-15,ssx,0.2552758292200363,0.5579399141630901
AVI.JO_2021-09-15_2023-09-15,601066.SS_2021-09-15_2023-09-15,ssx,0.17959710132063803,0.5214592274678111
AVI.JO_2021-09-15_2023-09-15,601211.SS_2021-09-15_2023-09-15,ssx,0.1778663160514302,0.5021459227467812
AVI.JO_2021-09-15_2023-09-15,ALQ.AX_2021-09-15_2023-09-15,asx,0.17601065843143046,0.5234215885947047
AVI.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.1667314949404825,0.5257510729613734
AVI.JO_2021-09-15_2023-09-15,600030.SS_2021-09-15_2023-09-15,ssx,0.16274722872208777,0.5042918454935622
AVI.JO_2021-09-15_2023-09-15,300059.SZ_2021-09-15_2023-09-15,ssx,0.16215223193305456,0.5515021459227468
AVI.JO_2021-09-15_2023-09-15,601111.SS_2021-09-15_2023-09-15,ssx,0.16165812715037545,0.5407725321888412
AVI.JO_2021-09-15_2023-09-15,603259.SS_2021-09-15_2023-09-15,ssx,0.15923560888459604,0.5665236051502146
AVI.JO_2021-09-15_2023-09-15,MQG.AX_2021-09-15_2023-09-15,asx,0.15701654276831017,0.5376782077393075
AVI.JO_2021-09-15_2023-09-15,601688.SS_2021-09-15_2023-09-15,ssx,0.1528355101424385,0.5150214592274678
BHG.JO_2021-09-15_2023-09-15,BHP.AX_2021-09-15_2023-09-15,asx,0.5023426027082544,0.6475
BHG.JO_2021-09-15_2023-09-15,RIO.AX_2021-09-15_2023-09-15,asx,0.4073061084481093,0.64
BHG.JO_2021-09-15_2023-09-15,FMG.AX_2021-09-15_2023-09-15,asx,0.3891869092836355,0.6275
BHG.JO_2021-09-15_2023-09-15,000001.SZ_2021-09-15_2023-09-15,ssx,0.32565556720022143,0.5815789473684211
BHG.JO_2021-09-15_2023-09-15,S32.AX_2021-09-15_2023-09-15,asx,0.3198236060464054,0.595
BHG.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.31032714773183634,0.55
BHG.JO_2021-09-15_2023-09-15,601211.SS_2021-09-15_2023-09-15,ssx,0.31023038377433887,0.5263157894736842
BHG.JO_2021-09-15_2023-09-15,600905.SS_2021-09-15_2023-09-15,ssx,0.2988725328337135,0.5078947368421053
BHG.JO_2021-09-15_2023-09-15,8015.T_2021-09-15_2023-09-15,jpx,0.2982904867131524,0.5714285714285714
BHG.JO_2021-09-15_2023-09-15,600030.SS_2021-09-15_2023-09-15,ssx,0.2951017004058985,0.5342105263157895
BID.JO_2021-09-15_2023-09-15,6594.T_2021-09-15_2023-09-15,jpx,0.22660494613691431,0.5529661016949152
BID.JO_2021-09-15_2023-09-15,MQG.AX_2021-09-15_2023-09-15,asx,0.22619352894109482,0.5295315682281059
BID.JO_2021-09-15_2023-09-15,000725.SZ_2021-09-15_2023-09-15,ssx,0.2219189926579253,0.4742489270386266
BID.JO_2021-09-15_2023-09-15,ALL.AX_2021-09-15_2023-09-15,asx,0.22172954687176105,0.5417515274949084
BID.JO_2021-09-15_2023-09-15,8015.T_2021-09-15_2023-09-15,jpx,0.21925602978108427,0.5360169491525424
BID.JO_2021-09-15_2023-09-15,6857.T_2021-09-15_2023-09-15,jpx,0.219077923393301,0.5402542372881356
BID.JO_2021-09-15_2023-09-15,6902.T_2021-09-15_2023-09-15,jpx,0.21365878567832428,0.5296610169491526
BID.JO_2021-09-15_2023-09-15,AIA.AX_2021-09-15_2023-09-15,asx,0.20008849673187107,0.5254582484725051
BID.JO_2021-09-15_2023-09-15,6273.T_2021-09-15_2023-09-15,jpx,0.19469555294924937,0.548728813559322
BID.JO_2021-09-15_2023-09-15,RHC.AX_2021-09-15_2023-09-15,asx,0.19408198519703185,0.5498981670061099
BTI.JO_2021-09-15_2023-09-15,NAB.AX_2021-09-15_2023-09-15,asx,0.20264797368062545,0.5580448065173116
BTI.JO_2021-09-15_2023-09-15,AMC.AX_2021-09-15_2023-09-15,asx,0.18116515014327364,0.5244897959183673
BTI.JO_2021-09-15_2023-09-15,CBA.AX_2021-09-15_2023-09-15,asx,0.16480768092902265,0.5539714867617108
BTI.JO_2021-09-15_2023-09-15,CPU.AX_2021-09-15_2023-09-15,asx,0.16438852421499714,0.5478615071283096
BTI.JO_2021-09-15_2023-09-15,SUN.AX_2021-09-15_2023-09-15,asx,0.15732670679752012,0.560081466395112
BTI.JO_2021-09-15_2023-09-15,WBC.AX_2021-09-15_2023-09-15,asx,0.15641991592936413,0.5551020408163265
BTI.JO_2021-09-15_2023-09-15,IAG.AX_2021-09-15_2023-09-15,asx,0.15063634445965904,0.5437881873727087
BTI.JO_2021-09-15_2023-09-15,601816.SS_2021-09-15_2023-09-15,ssx,-0.1466370627399659,0.38626609442060084
BTI.JO_2021-09-15_2023-09-15,EDV.AX_2021-09-15_2023-09-15,asx,0.14388844875034865,0.4969450101832994
BTI.JO_2021-09-15_2023-09-15,BXB.AX_2021-09-15_2023-09-15,asx,0.14217359351251277,0.5010183299389002
BVT.JO_2021-09-15_2023-09-15,MQG.AX_2021-09-15_2023-09-15,asx,0.18538590566603336,0.5723014256619144
BVT.JO_2021-09-15_2023-09-15,ALQ.AX_2021-09-15_2023-09-15,asx,0.1739530519142793,0.5315682281059063
BVT.JO_2021-09-15_2023-09-15,601919.SS_2021-09-15_2023-09-15,ssx,0.17240154650917558,0.5321888412017167
BVT.JO_2021-09-15_2023-09-15,4689.T_2021-09-15_2023-09-15,jpx,0.16965636454371408,0.5190677966101694
BVT.JO_2021-09-15_2023-09-15,9984.T_2021-09-15_2023-09-15,jpx,0.1503463652724028,0.538135593220339
