Date,Open,High,Low,Close,Adj Close,Volume
2022-05-06,16283.0,16283.0,15603.0,15831.0,14172.8251953125,3882099
2022-05-09,15850.0,15933.0,15449.0,15799.0,14144.1767578125,2673024
2022-05-10,15850.0,16585.0,15828.0,16240.0,14538.986328125,5786377
2022-05-11,16309.0,16387.0,15888.0,16320.0,14610.6064453125,2787010
2022-05-12,16190.0,16502.0,15996.0,16502.0,14773.54296875,5064056
2022-05-13,16361.0,16820.0,16392.0,16747.0,14992.880859375,4598118
2022-05-16,16441.0,16930.0,16483.0,16879.0,15111.0556640625,2315917
2022-05-17,17000.0,17123.0,16773.0,16773.0,15016.1572265625,2924063
2022-05-18,17024.0,17077.0,16819.0,16968.0,15190.7333984375,3116094
2022-05-19,16600.0,16799.0,16361.0,16734.0,14981.2421875,2339599
2022-05-20,16618.0,17004.0,16556.0,16556.0,14821.8876953125,3782100
2022-05-23,16501.0,16961.0,16580.0,16839.0,15075.2451171875,2288653
2022-05-24,16500.0,16931.0,16620.0,16709.0,14958.861328125,1567545
2022-05-25,16510.0,16839.0,16161.0,16221.0,14521.9755859375,2593690
2022-05-26,16020.0,16850.0,16130.0,16809.0,15048.38671875,3297567
2022-05-27,16839.0,17398.0,16777.0,17297.0,15485.2724609375,2231675
2022-05-30,17480.0,18010.0,17323.0,18010.0,16123.5927734375,3983348
2022-05-31,17800.0,18368.0,17706.0,18368.0,16444.09375,5982524
2022-06-01,18330.0,18512.0,17800.0,17940.0,16060.9228515625,2698364
2022-06-02,18176.0,18284.0,17608.0,17681.0,15829.0517578125,1522355
2022-06-03,18015.0,18141.0,17748.0,17913.0,16036.7509765625,1391809
2022-06-06,17770.0,17782.0,17356.0,17415.0,15590.9140625,2166917
2022-06-07,17198.0,17260.0,16778.0,16843.0,15078.8251953125,3121250
2022-06-08,16784.0,16997.0,16584.0,16623.0,14881.869140625,1924254
2022-06-09,16723.0,16891.0,16380.0,16380.0,14664.3212890625,2283214
2022-06-10,16250.0,16700.0,16086.0,16129.0,14439.611328125,2331949
