"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2023","73,757.01","73,017.05","73,757.01","72,884.28","76.02M","1.01%"
"02/10/2023","73,017.05","74,037.05","74,037.05","72,746.10","96.39M","-1.38%"
"02/09/2023","74,037.05","73,968.07","74,439.76","73,968.07","","0.09%"
"02/08/2023","73,968.07","73,434.08","74,038.72","73,344.01","","0.73%"
"02/07/2023","73,434.08","73,489.37","73,657.40","73,108.83","","-0.08%"
"02/06/2023","73,489.37","74,082.09","74,086.82","73,169.44","100.19M","-0.80%"
"02/03/2023","74,082.09","73,629.30","74,184.41","73,214.35","94.28M","0.61%"
"02/02/2023","73,629.30","73,723.26","74,137.46","73,366.56","135.95M","-0.13%"
"02/01/2023","73,723.26","73,431.04","74,401.99","73,394.27","140.46M","0.40%"
"01/31/2023","73,431.04","74,343.78","74,343.78","73,211.44","142.71M","-1.23%"
"01/30/2023","74,343.78","74,766.05","74,766.05","73,660.90","87.36M","-0.56%"
"01/27/2023","74,766.05","74,479.77","75,304.61","74,445.73","98.59M","0.38%"
"01/26/2023","74,479.77","73,712.45","74,893.61","73,698.22","103.79M","1.04%"
"01/25/2023","73,712.45","73,952.28","74,429.42","73,424.99","77.90M","-0.32%"
"01/24/2023","73,952.28","74,023.77","74,551.90","73,775.84","74.95M","-0.10%"
"01/23/2023","74,023.77","73,192.92","74,264.02","73,177.64","73.41M","1.14%"
"01/20/2023","73,192.92","73,329.04","74,104.99","72,906.24","93.80M","-0.19%"
"01/19/2023","73,329.04","73,757.69","73,780.41","72,777.05","111.34M","-0.58%"
"01/18/2023","73,757.69","73,281.62","73,958.74","72,472.38","97.18M","0.65%"
"01/17/2023","73,281.62","73,046.65","73,387.05","72,759.52","113.38M","0.32%"
"01/16/2023","73,046.65","73,193.28","73,655.97","72,868.29","92.36M","-0.20%"
"01/13/2023","73,193.28","72,486.23","73,393.66","72,272.83","","0.98%"
"01/12/2023","72,486.23","72,383.97","73,183.36","71,743.46","101.76M","0.14%"
"01/11/2023","72,383.97","71,833.49","72,779.11","71,833.49","96.53M","0.77%"
"01/10/2023","71,833.49","72,223.30","72,223.30","71,483.98","92.30M","-0.54%"
"01/09/2023","72,223.30","70,810.32","72,512.56","70,804.86","84.68M","2.00%"
"01/06/2023","70,810.32","69,395.65","71,043.98","69,379.45","73.09M","2.04%"
"01/05/2023","69,395.65","68,530.46","69,947.93","68,530.46","90.40M","1.26%"
"01/04/2023","68,530.46","68,360.71","68,951.88","68,207.49","87.92M","0.25%"
"01/03/2023","68,360.71","66,955.47","68,567.10","66,955.47","59.83M","2.10%"
"12/30/2022","66,955.47","67,497.42","67,508.49","66,776.83","33.70M","-0.80%"
"12/29/2022","67,497.42","68,157.48","68,157.48","66,787.41","49.06M","-0.97%"
"12/28/2022","68,157.48","67,323.76","68,435.42","67,323.76","57.44M","1.24%"
"12/23/2022","67,323.76","67,100.07","67,393.33","66,723.95","26.48M","0.33%"
"12/22/2022","67,100.07","67,672.38","67,964.24","66,909.52","47.92M","-0.85%"
"12/21/2022","67,672.38","66,921.51","67,672.38","66,820.59","55.64M","1.12%"
"12/20/2022","66,921.51","67,261.97","67,261.97","65,729.35","66.12M","-0.51%"
"12/19/2022","67,261.97","66,897.11","67,556.52","66,516.59","102.21M","0.55%"
"12/15/2022","66,897.11","68,179.52","68,182.30","66,707.64","433.78M","-1.88%"
"12/14/2022","68,179.52","69,675.69","69,675.69","67,933.23","117.49M","-2.15%"
"12/13/2022","69,675.69","68,277.93","70,030.28","68,177.38","114.28M","2.05%"
"12/12/2022","68,277.93","68,350.46","68,649.48","67,376.61","108.42M","-0.11%"
"12/09/2022","68,350.46","68,281.75","68,851.79","68,250.70","118.98M","0.10%"
"12/08/2022","68,281.75","67,863.45","68,472.04","67,797.48","83.09M","0.62%"
"12/07/2022","67,863.45","68,419.79","68,419.79","67,461.52","112.85M","-0.81%"
"12/06/2022","68,419.79","68,543.44","68,808.54","68,068.94","94.02M","-0.18%"
"12/05/2022","68,543.44","68,237.46","69,422.02","68,237.46","116.59M","0.45%"
"12/02/2022","68,237.46","68,867.70","68,889.81","67,243.84","169.40M","-0.92%"
"12/01/2022","68,867.70","68,564.29","70,036.71","68,564.29","205.55M","0.44%"
"11/30/2022","68,564.29","66,815.87","68,805.33","66,709.87","233.97M","2.62%"
"11/29/2022","66,815.87","66,993.69","67,878.73","66,507.76","94.80M","-0.27%"
"11/28/2022","66,993.69","66,753.48","67,147.79","66,114.53","81.48M","0.36%"
"11/25/2022","66,753.48","66,764.87","67,073.61","66,104.46","70.77M","-0.02%"
"11/24/2022","66,764.87","66,521.48","67,063.93","66,352.90","60.87M","0.37%"
"11/23/2022","66,521.48","65,853.53","66,674.70","65,853.53","82.16M","1.01%"
"11/22/2022","65,853.53","65,590.86","66,064.54","64,981.37","107.08M","0.40%"
"11/21/2022","65,590.86","66,227.03","66,227.03","65,309.44","93.44M","-0.96%"
"11/18/2022","66,227.03","65,831.78","66,604.59","65,831.78","87.10M","0.60%"
"11/17/2022","65,831.78","66,222.28","66,428.13","65,482.59","105.00M","-0.59%"
"11/16/2022","66,222.28","66,524.92","67,065.75","66,200.80","120.24M","-0.45%"
"11/15/2022","66,524.92","66,289.27","67,055.78","66,215.67","145.12M","0.36%"
"11/14/2022","66,289.27","66,453.08","66,778.74","66,229.93","112.61M","-0.25%"
"11/11/2022","66,453.08","64,087.41","66,930.45","64,087.41","","3.69%"
"11/10/2022","64,087.41","63,027.83","64,090.95","62,035.83","135.71M","1.68%"
"11/09/2022","63,027.83","62,408.05","63,115.79","62,342.25","103.75M","0.99%"
"11/08/2022","62,408.05","62,812.67","62,820.28","62,078.11","90.36M","-0.64%"
"11/07/2022","62,812.67","62,769.28","63,078.49","61,989.76","112.28M","0.07%"
"11/04/2022","62,769.28","59,504.05","62,920.68","59,504.05","150.19M","5.49%"
"11/03/2022","59,504.05","60,512.80","60,512.80","59,063.08","123.31M","-1.67%"
"11/02/2022","60,512.80","60,799.41","61,346.05","60,363.00","122.35M","-0.47%"
"11/01/2022","60,799.41","60,030.53","61,578.76","60,030.53","133.26M","1.28%"
"10/31/2022","60,030.53","59,687.06","60,173.10","59,674.50","91.76M","0.58%"
"10/28/2022","59,687.06","60,469.90","60,469.90","59,124.94","118.66M","-1.29%"
"10/27/2022","60,469.90","60,566.29","60,739.61","60,004.44","113.35M","-0.16%"
"10/26/2022","60,566.29","59,268.00","60,566.29","59,253.84","140.16M","2.19%"
"10/25/2022","59,268.00","58,461.97","59,440.25","58,461.97","122.55M","1.38%"
"10/24/2022","58,461.97","59,091.06","59,377.20","58,200.54","100.08M","-1.06%"
"10/21/2022","59,091.06","59,347.28","59,593.79","58,225.52","87.10M","-0.43%"
"10/20/2022","59,347.28","59,209.55","59,419.12","58,400.61","225.88M","0.23%"
"10/19/2022","59,209.55","59,829.23","59,829.23","58,788.07","137.38M","-1.04%"
"10/18/2022","59,829.23","59,638.26","60,371.99","59,638.26","106.19M","0.32%"
"10/17/2022","59,638.26","57,844.49","59,723.58","57,712.05","112.18M","3.10%"
"10/14/2022","57,844.49","57,960.88","59,311.44","57,630.81","95.54M","-0.20%"
"10/13/2022","57,960.88","58,177.44","58,408.97","57,252.98","111.78M","-0.37%"
"10/12/2022","58,177.44","58,208.74","58,680.60","57,953.17","108.11M","-0.05%"
"10/11/2022","58,208.74","58,336.04","58,790.82","57,736.16","110.47M","-0.30%"
